"filename", "language", "YAML", "Markdown", "C++", "Dart", "Kotlin", "Java Properties", "JSON", "HTML", "XML", "Swift", "MS SQL", "CSV", "Docker", "Batch", "Java", "Ignore", "comment", "blank", "total"
"c:\Personal\DATN\BodyPilot\.idea\BodyPilot.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Personal\DATN\BodyPilot\.idea\compiler.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29
"c:\Personal\DATN\BodyPilot\.idea\encodings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Personal\DATN\BodyPilot\.idea\gradle.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47
"c:\Personal\DATN\BodyPilot\.idea\jarRepositories.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Personal\DATN\BodyPilot\.idea\kotlinc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Personal\DATN\BodyPilot\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Personal\DATN\BodyPilot\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Personal\DATN\BodyPilot\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Personal\DATN\BodyPilot\admin_web\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Personal\DATN\BodyPilot\admin_web\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"c:\Personal\DATN\BodyPilot\admin_web\lib\core\network\api_client.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 59
"c:\Personal\DATN\BodyPilot\admin_web\lib\core\theme.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Personal\DATN\BodyPilot\admin_web\lib\data\models\admin_stats_model.dart", "Dart", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 70
"c:\Personal\DATN\BodyPilot\admin_web\lib\data\repositories\admin_repository.dart", "Dart", 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 34, 265
"c:\Personal\DATN\BodyPilot\admin_web\lib\main.dart", "Dart", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 129
"c:\Personal\DATN\BodyPilot\admin_web\lib\presentation\screens\dashboard_screen.dart", "Dart", 0, 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 343
"c:\Personal\DATN\BodyPilot\admin_web\lib\presentation\screens\dish_detail_screen.dart", "Dart", 0, 0, 0, 361, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23, 386
