id,created_at,updated_at,name,type,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,sugar_per_100g,sodium_mg_per_100g,category_id,default_serving_id,image_url,description,health_score
1e4d53ad-7ab9-5a54-854a-e9ceea6c224e,,,Bánh quế quế có đường (Sweetened Cinnamon Waffle),DISH,309.0,7.3,7.3,51.0,2.5,18.0,418.0,9d4dc1ac-566d-45dd-8f5c-976afae98cfc,,,"Bánh quế ngọt là một món ăn sáng làm sẵn có đặc điểm là hương vị gia vị ấm áp và kết cấu giòn, màu nâu vàng. Những chiếc bánh quế này thường chứa thêm đường và carbohydrate tinh chế, với quế được tẩm vào bột hoặc rắc lên trên để tạo mùi thơm ấm áp. Mặc dù thuận tiện nhưng thành phần dinh dưỡng của chúng lại thiên về mật độ calo cao hơn và ít chất xơ hơn so với các sản phẩm thay thế ngũ cốc nguyên hạt, khiến việc nhận thức về khẩu phần ăn trở nên quan trọng đối với chế độ ăn kiêng đường. Chúng thường được phục vụ nướng với xi-rô hoặc trái cây, càng làm tăng thêm vị ngọt của chúng.",75
986decbf-093e-5500-9195-744318d8e47a,,,Bánh muffin việt quất mini (Mini Blueberry Muffins),INGREDIENT,375.0,4.49,16.1,53.0,1.1,31.5,336.0,9d4dc1ac-566d-45dd-8f5c-976afae98cfc,,,"Bánh nướng xốp việt quất mini là loại bánh nướng ngọt, dùng một lần, có quả việt quất tươi hoặc đông lạnh được gấp thành lớp vụn ẩm và mềm. Kích thước nhỏ gọn và vị ngọt đậm đặc của chúng khiến việc kiểm soát khẩu phần trở nên khó khăn mặc dù chúng tiện lợi khi cầm tay, vì chúng thường chứa carbohydrate tinh chế và đường bổ sung tương đương với bánh nướng xốp cỡ lớn. Những chiếc bánh nướng xốp này thường sử dụng bột mì đa dụng và có thể chứa các chất gây dị ứng phổ biến như lúa mì, trứng hoặc sữa, tùy thuộc vào công thức.",75
c5fd074a-1003-5974-9259-db01e0fbacf6,,,Bánh muffin Anh ít calo (Low-Calorie English Muffins),DISH,227.0,8.9,1.7,44.0,3.0,4.0,450.0,9d4dc1ac-566d-45dd-8f5c-976afae98cfc,,,"Bánh nướng xốp kiểu Anh có hàm lượng calo thấp là phiên bản sửa đổi của bánh nướng xốp truyền thống, được làm giàu với các chất dinh dưỡng bổ sung như vitamin B và sắt để nâng cao giá trị dinh dưỡng của chúng. Họ đạt được lượng calo giảm thông qua hỗn hợp bột có nhiều chất xơ hoặc điều chỉnh khẩu phần trong khi vẫn giữ được các ngóc ngách đặc trưng và kết cấu dai nhẹ của bánh nướng xốp kiểu Anh cổ điển. Thường được sử dụng làm món ăn sáng chủ yếu hoặc bánh sandwich, chúng cung cấp một lựa chọn cân bằng cho chế độ ăn kiêng hạn chế calo mà không làm mất đi tính linh hoạt.",75
d28151a0-aada-50d4-9782-d6e338373cff,,,Nước cốt dừa không đường (Unsweetened Coconut Milk),INGREDIENT,148.18,1.4,15.4,1.7,0.0,1.7,26.0,9d4dc1ac-566d-45dd-8f5c-976afae98cfc,,,"Nước cốt dừa không đường là một chất lỏng có nguồn gốc từ thực vật được lấy từ cùi dừa trưởng thành, không thêm đường hoặc chất làm ngọt. Có sẵn ở cả dạng hộp đựng ổn định (ít chất béo) và dạng đóng hộp (chất béo cao hơn), nó cung cấp nguồn chất béo trung tính chuỗi trung bình (MCT) phong phú trong khi vẫn chứa ít carbohydrate và protein. Loại sữa thay thế không chứa sữa này được sử dụng rộng rãi trong các món mặn như cà ri, làm kem trong đồ uống và trong các công thức nấu ăn keto hoặc nhạt đòi hỏi hương vị trung tính, hơi hấp dẫn.",75
72616187-c19f-58f7-8716-1c90f8487c16,,,Bánh ngọt trắng (White Cake),DISH,357.0,5.4,12.4,57.2,0.8,35.5,327.0,9d4dc1ac-566d-45dd-8f5c-976afae98cfc,,,"Bánh trắng là một loại bánh cổ điển của Mỹ có đặc điểm là màu nhạt và lớp vỏ xốp, mềm, được làm bằng cách sử dụng lòng trắng trứng thay vì cả quả trứng. Món tráng miệng có vị ngọt này thường kết hợp bột mì tinh chế, đường và bơ hoặc dầu, tạo ra lượng carbohydrate cao với lượng đường bổ sung đáng chú ý. Thường được kết hợp với kem phủ kem bơ, đây là món ăn chủ yếu để ăn mừng nhưng có thể chứa các chất gây dị ứng phổ biến như gluten, sữa và trứng.",75
7c335978-7816-569b-b04f-18e2a8add99c,,,Bánh cuộn ngọt (Sweet Roll),DISH,372.0,6.2,16.0,51.0,2.4,32.0,600.0,9d4dc1ac-566d-45dd-8f5c-976afae98cfc,,,"Bánh cuộn ngọt là một loại bánh ngọt làm từ men hoặc bánh được làm giàu, đặc trưng bởi bột có đường và thường xuyên sử dụng men, kem hoặc nhân. Những món nướng này thường kết hợp bột mì tinh chế, đường, trứng và bơ để tạo ra lớp vỏ bánh mềm, mềm, với hương quế, vani hoặc trái cây là những hương vị bổ sung phổ biến. Mặc dù cung cấp lượng protein vừa phải từ trứng và sữa, bánh cuộn ngọt chủ yếu là món ăn chứa nhiều carbohydrate thường được dùng như món ăn sáng hoặc món tráng miệng hơn là món ăn chủ yếu hàng ngày.",75
be237c1b-9d62-53c4-8b1c-04fd2abfe57b,,,"Xúc xích heo Ý ngọt, tươi sống (Sweet Italian Pork Sausage, Raw)",INGREDIENT,271.0,14.4,20.9,6.3,0.0,1.17,676.0,9d4dc1ac-566d-45dd-8f5c-976afae98cfc,,,"Xúc xích thịt lợn Ý ngọt là một loại xúc xích tươi, chưa qua chế biến được làm từ thịt lợn xay dày dặn và được phân biệt bằng sự pha trộn đặc trưng của thì là, tỏi và ớt bột ngọt. Các liên kết thô thường chứa 25-30% chất béo, góp phần tạo nên kết cấu ngon ngọt khi nấu chín và được bọc trong vỏ tự nhiên hoặc tổng hợp. Loại xúc xích lấy cảm hứng từ Ý này cần được nấu chín kỹ và thường được nướng, áp chảo hoặc dùng làm hương vị cơ bản cho nước sốt và món nhồi mì ống.",75
764ffe22-d69f-5cdc-bf20-3fbf5fe879eb,,,Bánh quy xoắn muối (Salted Pretzels),INGREDIENT,384.0,10.0,2.94,80.4,3.4,2.21,1240.0,9d4dc1ac-566d-45dd-8f5c-976afae98cfc,,,"Bánh quy mặn là một món ăn nhẹ nướng truyền thống được làm từ bột mì đã được làm giàu, trải qua quá trình xử lý trong dung dịch kiềm trước khi nướng, tạo ra lớp vỏ màu nâu sẫm đặc trưng và phần bên trong dai. Quá trình làm giàu bổ sung thêm các chất dinh dưỡng thiết yếu như vitamin B và sắt vào bột, trong khi lớp muối thô đặc trưng đóng góp hàm lượng natri đáng kể. Thường được tạo hình thành các nút thắt xoắn, những chiếc bánh quy này cung cấp lượng protein vừa phải từ gluten lúa mì và thường được thưởng thức như một món ăn nhẹ thơm ngon kết hợp với mù tạt hoặc nước chấm phô mai.",75
868aa37f-4789-53ac-acae-bdc6eac54021,,,Bánh muffin ngô (Corn Muffins),DISH,305.0,5.9,8.4,51.0,3.4,17.8,426.0,9d4dc1ac-566d-45dd-8f5c-976afae98cfc,,,"Bánh nướng xốp ngô là một món nướng cổ điển của Mỹ kết hợp bột ngô và bột mì, tạo ra lớp vỏ vàng đặc biệt với kết cấu hơi sạn. Loại ngô có vị ngọt cân bằng độ đất tự nhiên của ngô với đường bổ sung, khiến chúng trở nên phổ biến như món ăn sáng hoặc món ăn kèm cho các món mặn như ớt. Mặc dù cung cấp năng lượng nhanh chóng từ carbohydrate, nhưng chúng thường chứa ít chất xơ hơn so với các sản phẩm thay thế ngũ cốc nguyên hạt do hàm lượng bột tinh chế và thường lấy được độ ẩm từ bơ hoặc dầu bổ sung.",75
704845f3-1cdc-5549-a242-2186a95dfdd1,,,Bánh gạo táo quế (Apple Cinnamon Rice Cake),DISH,385.0,7.7,0.0,84.6,7.7,53.8,100.0,9d4dc1ac-566d-45dd-8f5c-976afae98cfc,,,"Bánh gạo táo quế là một món ăn nhẹ có vị ngọt được làm từ gạo nguyên hạt căng phồng phủ gia vị quế có hương vị táo. Những chiếc bánh giòn, ít béo này cung cấp một nguồn carbohydrate và chất xơ thuận tiện, mặc dù lượng đường bổ sung khiến chúng có hàm lượng carbs đơn giản cao hơn so với các loại bánh thông thường. Phổ biến như một món ăn nhẹ di động, chúng cung cấp một lựa chọn thay thế không chứa gluten cho bánh quy giòn có đường khi được làm mà không có các thành phần bị nhiễm chéo.",75
