id,created_at,updated_at,name,type,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,fiber_per_100g,sugar_per_100g,sodium_mg_per_100g,category_id,default_serving_id,image_url,description,health_score
c53bbde7-d9ac-58c1-96f9-23cbaae379d0,,,"Ức gà, không xương không da, Nấu chín (Chicken Breast, Boneless Skinless, Cooked)",DISH,151.0,30.54,3.17,0.0,0.0,0.0,52.0,de172d43-2578-4f27-a571-6d871460d273,,,"Ức gà (không xương, không da) là nguồn protein nạc chủ yếu được đánh giá cao vì giá trị sinh học cao và hàm lượng chất béo tối thiểu. Khi nấu chín bằng các phương pháp như nướng, nướng bánh hoặc luộc, nó cung cấp khoảng 31g protein trên 100g khẩu phần với ít hơn 4g chất béo, khiến nó trở thành nền tảng của chế độ ăn kiêng duy trì cơ bắp và quản lý cân nặng. Hương vị trung tính và kết cấu chắc nhưng mềm của nó thích ứng tốt với các món ăn toàn cầu, từ món khai vị tẩm thảo mộc đến món salad cắt lát phủ trên.",80
5063f27f-e0f2-5142-9153-909feb62707c,,,Trứng lớn (Large Eggs),INGREDIENT,143.0,12.6,9.5,1.1,0.0,1.1,124.0,5a495c98-b00c-4007-aeac-501f3ae8e030,,,"Trứng lớn là tên gọi kích thước phổ biến cho trứng gà, mỗi quả thường nặng khoảng 50 gam. Chúng là nguồn cung cấp protein chất lượng cao, vitamin và khoáng chất thiết yếu, tất cả đều được chứa trong lớp vỏ bảo vệ tự nhiên. Mặc dù trứng được biết là có chứa cholesterol, nhưng nghiên cứu hiện tại cho thấy rằng cholesterol trong chế độ ăn uống ít ảnh hưởng đến mức cholesterol trong máu đối với hầu hết mọi người so với chất béo bão hòa và chất béo chuyển hóa.",75
4bc7d59e-5acc-568e-941f-b5b4bfa09b5c,,,"Cơm, Nấu chín (Rice, Cooked)",DISH,130.0,2.69,0.28,28.2,0.4,0.05,1.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Cơm nấu chín là loại ngũ cốc chủ yếu đóng vai trò là nguồn năng lượng chính do hàm lượng carbohydrate cao, được tiêu thụ trên toàn cầu trong các truyền thống ẩm thực khác nhau. Kết cấu từ dẻo đến mềm tùy thuộc vào giống và phương pháp chế biến, gạo lứt vẫn giữ lại lớp cám để cung cấp nhiều chất xơ và chất dinh dưỡng hơn gạo trắng đánh bóng. Loại ngũ cốc không chứa gluten này có khối lượng tăng gấp ba lần khi nấu chín và yêu cầu nhận thức về khẩu phần do mật độ calo của nó ở dạng chế biến sẵn.",75
f75f73c6-a4f6-5f67-a202-a3c41e2d3245,,,Sữa nguyên chất (Whole Milk),INGREDIENT,63.0,3.3,3.4,4.7,0.0,4.75,41.0,5a495c98-b00c-4007-aeac-501f3ae8e030,,,"Sữa nguyên chất là một loại đồ uống từ sữa giữ được hàm lượng chất béo sữa tự nhiên khoảng 3,25%, giúp phân biệt với các loại sữa ít béo. Nó đóng vai trò là nguồn cung cấp canxi và vitamin D đáng kể, với hàm lượng chất béo góp phần tạo nên kết cấu kem và khả năng tăng cường cảm giác ngon miệng khi dùng cà phê, đồ nướng và nước sốt. Là dạng cơ bản của sữa bò, nó chứa đường tự nhiên (lactose) và cung cấp các chất dinh dưỡng thiết yếu theo tỷ lệ ban đầu.",75
5834f785-5a93-58d2-9dc0-e00003f22edf,,,Gạo trắng (White Rice),INGREDIENT,81.48,1.72,0.19,18.25,0.26,0.03,3.97,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Cơm trắng phục vụ tại quán poke thường là loại gạo sushi được trộn với giấm gạo, đường và muối để tạo hương vị ngọt ngào thoang thoảng. Loại gạo được chế biến đặc biệt này đóng vai trò là lớp nền truyền thống cho các bát poke, mang đến kết cấu dẻo nhưng mịn, kết hợp hoàn hảo với cá tươi và lớp phủ bên trên. Một khẩu phần tiêu chuẩn gồm 1,5 cốc cung cấp khoảng 51 gam carbohydrate và đóng vai trò là nguồn năng lượng chính trong bát chọc.",75
6bd56093-4d94-5182-87fa-538b13949e53,,,Enriched gạo trắng (Enriched White Rice),INGREDIENT,374.0,7.51,1.03,80.9,1.8,0.33,2.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Gạo trắng giàu dinh dưỡng là loại ngũ cốc xay đã được đánh bóng để loại bỏ cám và mầm, sau đó được bổ sung sắt, thiamine và axit folic để phục hồi các chất dinh dưỡng bị mất trong quá trình chế biến. Mặc dù ít chất xơ hơn gạo lứt nhưng loại ngũ cốc tinh chế này nấu thành những hạt mềm, mịn với hương vị trung tính, dễ hấp thụ gia vị và nước sốt. Quá trình làm giàu làm cho nó trở thành nguồn cung cấp sắt và vitamin B đáng kể so với gạo trắng không được tăng cường, mặc dù nó vẫn có hàm lượng chất dinh dưỡng tự nhiên thấp hơn so với các loại ngũ cốc nguyên hạt.",75
3c8211a7-8b69-5e46-a408-5eccee49b52f,,,"Không xương không da ức gà, Tươi sống (Boneless Skinless Chicken Breast, Raw)",INGREDIENT,120.0,22.5,2.62,0.0,0.0,0.0,45.0,de172d43-2578-4f27-a571-6d871460d273,,,"Ức gà không da không xương là nguồn protein nạc được sử dụng rộng rãi trong chế độ ăn uống có lợi cho sức khỏe do tỷ lệ protein trên chất béo cao. Việc loại bỏ cả xương và da tạo ra một vết cắt ít chất béo chứa chất béo bão hòa tối thiểu đồng thời cung cấp các axit amin thiết yếu cần thiết để duy trì cơ bắp. Loại thịt đa năng này thích ứng tốt với các phương pháp nấu ăn khác nhau bao gồm nướng, nướng bánh và luộc, đóng vai trò như một lớp nền trung tính giúp dễ dàng hấp thụ nước xốt và gia vị.",80
d0ee056e-6159-5381-abae-b77264bdff8f,,,Long Grain gạo trắng (Long Grain White Rice),INGREDIENT,365.0,7.13,0.66,80.0,1.3,0.12,5.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Gạo trắng hạt dài là loại ngũ cốc được xay xát có đặc điểm là hạt thon dài, tách rời và bông xốp khi nấu chín. Quá trình đánh bóng loại bỏ cám và mầm, dẫn đến hàm lượng chất xơ thấp hơn so với gạo lứt, mặc dù nhiều loại gạo thương mại được bổ sung sắt và vitamin B. Là một món ăn chủ yếu đa năng trong ẩm thực toàn cầu, nó đóng vai trò là nguồn carbohydrate chính và không chứa gluten tự nhiên, khiến nó phù hợp với nhiều nhu cầu ăn kiêng khác nhau.",75
efc0fbbd-9275-5bb2-b34d-c228534dd92d,,,Medium Grain gạo trắng (Medium Grain White Rice),INGREDIENT,360.0,6.61,0.58,79.3,1.4,0.12,1.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Gạo trắng hạt vừa là loại gạo được đánh bóng có đặc điểm là hạt ngắn hơn, căng hơn, mềm và hơi dính khi nấu chín. Phiên bản giàu dinh dưỡng này đã được bổ sung sắt và vitamin B để thay thế các chất dinh dưỡng bị mất trong quá trình xay xát, loại bỏ cám và mầm. Hàm lượng tinh bột cân bằng khiến nó trở nên lý tưởng cho các món ăn yêu cầu kết cấu kết dính như risotto, sushi hoặc bánh pudding gạo, đồng thời cung cấp nguồn carbohydrate tiêu hóa nhanh cho nhu cầu năng lượng ngay lập tức.",75
833217ea-292f-5a23-85bf-075f2d910234,,,Oatmeal (Oatmeal),INGREDIENT,382.0,13.5,5.9,68.7,10.0,1.03,2.0,7aa75582-4482-4305-80f6-aa6cfccec44c,,,"Bột yến mạch là một loại ngũ cốc nguyên hạt được làm từ những tấm yến mạch khô, được chế biến tối thiểu, thường được bán dưới dạng yến mạch cán hoặc cắt thép. Nó nổi tiếng với hàm lượng chất xơ hòa tan cao - đặc biệt là beta-glucan, hỗ trợ sức khỏe tim mạch - và cung cấp năng lượng bền vững thông qua carbohydrate phức tạp. Mặc dù không chứa gluten tự nhiên, nhưng nguy cơ lây nhiễm chéo cần được xác minh đối với những người nhạy cảm và đặc tính hương vị trung tính của nó cho phép sử dụng linh hoạt trong cả các chế phẩm ngọt và mặn khi nấu với chất lỏng.",75
